Relative_File_Path,Number_of_Chains
Training/Lx150_BD057_C1_nematic_02925000.png,57
Training/Lx150_BD0130_C0_nematic_00570000.png,130
Training/Kappa150_BD05_C0_nematic_32325000.png,726
Training/Kappa300_BD05_C2_nematic_11850000.png,726
Training/Kappa250_BD03_C1_nematic_35475000.png,435
Training/Kappa200_BD07_C0_nematic_09000000.png,1016
Training/Lx50_BD07_C1_nematic_02010000.png,113
Training/Kappa30_BD05_C8_nematic_01050000.png,726
Training/Lx100_BD05_C2_nematic_00270000.png,323
Training/Kappa500_BD01_C2_nematic_129600000.png,145
Training/Kappa250_BD03_C1_nematic_09225000.png,435
Training/Kappa100_BD01_C5_nematic_156375000.png,145
Training/Kappa200_BD03_C0_nematic_56025000.png,435
Training/Kappa30_BD07_C0_nematic_02850000.png,1016
Training/Lx100_BD01_C1_nematic_03840000.png,65
Training/Kappa70_BD03_C2_nematic_40200000.png,435
Training/Lx150_BD020_C0_nematic_07170000.png,20
Training/Lx50_BD05_C2_nematic_00480000.png,81
Training/Kappa300_BD01_C2_nematic_122700000.png,145
Training/Lx150_BD0130_C2_nematic_05145000.png,130
Training/Kappa70_BD03_C0_nematic_62400000.png,435
Training/Lx150_BD0359_C2_nematic_00180000.png,359
Training/Lx50_BD07_C0_nematic_02340000.png,113
Training/Lx150_BD0333_C1_nematic_00165000.png,333
Training/Lx150_BD0198_C2_nematic_01545000.png,198
Training/Kappa100_BD01_C4_nematic_81975000.png,145
Training/Lx150_BD0333_C2_nematic_01965000.png,333
Training/Lx150_BD083_C0_nematic_09450000.png,83
Training/Kappa200_BD07_C0_nematic_09300000.png,1016
Training/Lx150_BD0253_C1_nematic_01095000.png,253
Training/Lx50_BD03_C0_nematic_03750000.png,48
Training/Kappa300_BD03_C0_nematic_43050000.png,435
Training/Kappa1000_BD03_C2_nematic_11775000.png,435
Training/Kappa300_BD03_C1_nematic_34200000.png,435
Training/Lx150_BD057_C1_nematic_00600000.png,57
Training/Kappa250_BD07_C0_nematic_03375000.png,1016
Training/Kappa70_BD01_C4_nematic_02625000.png,145
Training/Kappa70_BD01_C5_nematic_124650000.png,145
Training/Kappa100_BD05_C1_nematic_11325000.png,726
Training/Kappa150_BD05_C1_nematic_07275000.png,726
Training/Kappa30_BD01_C5_nematic_25050000.png,145
Training/Kappa150_BD07_C2_nematic_09150000.png,1016
Training/Kappa30_BD07_C3_nematic_02925000.png,1016
Training/Kappa150_BD07_C0_nematic_16275000.png,1016
Training/Lx150_BD083_C1_nematic_07725000.png,83
Training/Kappa30_BD07_C4_nematic_11775000.png,1016
Training/Kappa70_BD01_C1_nematic_46200000.png,145
Training/Lx150_BD057_C2_nematic_07500000.png,57
Training/Lx100_BD03_C2_nematic_01575000.png,194
Training/Kappa200_BD05_C2_nematic_22125000.png,726
Training/Lx150_BD020_C1_nematic_21885000.png,20
Training/Kappa100_BD03_C1_nematic_28575000.png,435
Training/Lx150_BD0247_C1_nematic_01905000.png,247
Training/Kappa70_BD07_C1_nematic_21369627.png,1016
Training/Kappa300_BD05_C1_nematic_05250000.png,726
Training/Kappa250_BD01_C1_nematic_104100000.png,145
Training/Lx50_BD05_C0_nematic_02940000.png,81
Training/Kappa500_BD05_C1_nematic_22575000.png,726
Training/Kappa250_BD01_C1_nematic_48075000.png,145
Training/Kappa300_BD05_C2_nematic_13650000.png,726
Training/Lx50_BD03_C2_nematic_02220000.png,48
Training/Kappa30_BD07_C0_nematic_26456304.png,1016
Training/Kappa70_BD03_C2_nematic_27375000.png,435
Training/Kappa300_BD05_C1_nematic_09225000.png,726
Training/Lx50_BD07_C0_nematic_00360000.png,113
Training/Kappa70_BD01_C3_nematic_163950000.png,145
Training/Kappa300_BD01_C1_nematic_145875000.png,145
Training/Lx100_BD01_C2_nematic_03825000.png,65
Training/Kappa30_BD05_C2_nematic_02325000.png,726
Training/Kappa30_BD01_C2_nematic_143475000.png,145
Training/Kappa100_BD07_C2_nematic_07725000.png,1016
Training/Lx50_BD07_C2_nematic_02265000.png,113
Training/Lx100_BD07_C2_nematic_00180000.png,452
Training/Lx100_BD07_C0_nematic_00675000.png,452
Training/Lx150_BD083_C1_nematic_01575000.png,83
Training/Kappa30_BD05_C7_nematic_21000000.png,726
Training/Kappa30_BD01_C5_nematic_49575000.png,145
Training/Kappa150_BD05_C1_nematic_14175000.png,726
Training/Lx100_BD03_C1_nematic_00300000.png,194
Training/Kappa250_BD01_C1_nematic_176700000.png,145
Training/Lx150_BD0333_C1_nematic_00270000.png,333
Training/Kappa30_BD01_C3_nematic_79200000.png,145
Training/Lx150_BD057_C2_nematic_03600000.png,57
Training/Lx150_BD0359_C0_nematic_01320000.png,359
Training/Kappa30_BD07_C4_nematic_12225000.png,1016
Training/Kappa200_BD05_C2_nematic_08550000.png,726
Training/Kappa100_BD01_C3_nematic_182400000.png,145
Training/Kappa150_BD01_C0_nematic_54600000.png,145
Training/Kappa300_BD01_C2_nematic_86550000.png,145
Training/Lx150_BD0198_C0_nematic_00045000.png,198
Training/Lx150_BD0130_C1_nematic_05040000.png,130
Training/Kappa500_BD03_C1_nematic_05925000.png,435
Training/Lx150_BD0359_C1_nematic_01890000.png,359
Training/Kappa250_BD07_C0_nematic_03075000.png,1016
Training/Kappa250_BD07_C1_nematic_01575000.png,1016
Training/Kappa250_BD03_C1_nematic_32475000.png,435
Training/Kappa70_BD05_C0_nematic_43048138.png,726
Training/Lx150_BD0247_C1_nematic_02955000.png,247
Training/Kappa300_BD07_C1_nematic_05850000.png,1016
Training/Kappa300_BD03_C1_nematic_13500000.png,435
Training/Kappa70_BD03_C4_nematic_10500000.png,435
Training/Kappa1000_BD03_C2_nematic_20250000.png,435
Training/Lx150_BD0333_C2_nematic_00525000.png,333
Training/Lx50_BD05_C1_nematic_02415000.png,81
Training/Kappa30_BD05_C2_nematic_11250000.png,726
Training/Lx150_BD0333_C0_nematic_01050000.png,333
Training/Kappa250_BD05_C1_nematic_08960178.png,726
Training/Lx100_BD05_C1_nematic_00585000.png,323
Training/Kappa150_BD01_C0_nematic_217200000.png,145
Training/Kappa200_BD03_C1_nematic_17100000.png,435
Training/Kappa200_BD03_C1_nematic_12600000.png,435
Training/Lx150_BD0130_C0_nematic_02130000.png,130
Training/Kappa150_BD07_C1_nematic_10425000.png,1016
Training/Kappa250_BD03_C0_nematic_09900000.png,435
Training/Lx150_BD0198_C0_nematic_03930000.png,198
Training/Kappa100_BD03_C0_nematic_17100000.png,435
Training/Kappa200_BD01_C0_nematic_81900000.png,145
Training/Lx100_BD01_C0_nematic_06405000.png,65
Training/Kappa500_BD01_C0_nematic_159150000.png,145
Training/Kappa30_BD05_C7_nematic_14775000.png,726
Training/Kappa200_BD05_C0_nematic_03000000.png,726
Training/Kappa300_BD03_C2_nematic_29925000.png,435
Training/Kappa150_BD01_C1_nematic_98850000.png,145
Training/Lx150_BD0333_C2_nematic_01320000.png,333
Training/Kappa70_BD01_C2_nematic_168675000.png,145
Training/Lx150_BD0333_C1_nematic_01740000.png,333
Training/Kappa150_BD01_C0_nematic_98850000.png,145
Training/Kappa30_BD07_C5_nematic_19762656.png,1016
Training/Kappa300_BD03_C1_nematic_00375000.png,435
Training/Lx150_BD0247_C1_nematic_01125000.png,247
Training/Kappa150_BD07_C2_nematic_18600000.png,1016
Training/Lx150_BD0333_C1_nematic_00885000.png,333
Training/Kappa200_BD01_C0_nematic_132075000.png,145
Training/Lx150_BD057_C0_nematic_05325000.png,57
Training/Kappa30_BD01_C0_nematic_89250000.png,145
Training/Lx150_BD0253_C2_nematic_02580000.png,253
Training/Lx50_BD07_C0_nematic_01650000.png,113
Training/Kappa150_BD03_C2_nematic_06150000.png,435
Training/Kappa100_BD03_C0_nematic_21900000.png,435
Training/Lx100_BD05_C0_nematic_00525000.png,323
Training/Lx150_BD035_C2_nematic_12150000.png,35
Training/Lx100_BD01_C0_nematic_01470000.png,65
Training/Kappa300_BD07_C0_nematic_17475000.png,1016
Training/Kappa30_BD01_C5_nematic_144525000.png,145
Training/Kappa250_BD07_C2_nematic_04950000.png,1016
Training/Lx150_BD0359_C0_nematic_00600000.png,359
Training/Kappa30_BD07_C2_nematic_14025000.png,1016
Training/Lx100_BD07_C2_nematic_00690000.png,452
Training/Kappa100_BD07_C1_nematic_16425000.png,1016
Training/Kappa500_BD03_C2_nematic_18075000.png,435
Training/Kappa100_BD05_C0_nematic_01350000.png,726
Training/Kappa100_BD01_C3_nematic_124650000.png,145
Training/Kappa200_BD05_C1_nematic_12525000.png,726
Training/Kappa300_BD07_C1_nematic_14550000.png,1016
Training/Kappa200_BD07_C1_nematic_13725000.png,1016
Training/Kappa200_BD07_C0_nematic_07575000.png,1016
Training/Kappa500_BD03_C1_nematic_54525000.png,435
Training/Lx150_BD083_C2_nematic_08100000.png,83
Training/Kappa30_BD07_C4_nematic_24012921.png,1016
Training/Kappa200_BD01_C0_nematic_151800000.png,145
Training/Kappa500_BD05_C0_nematic_14250000.png,726
Training/Kappa100_BD05_C0_nematic_02025000.png,726
Training/Lx50_BD01_C1_nematic_05040000.png,16
Training/Kappa70_BD05_C0_nematic_11775000.png,726
Training/Kappa250_BD05_C0_nematic_01911266.png,726
Training/Kappa150_BD05_C0_nematic_17475000.png,726
Training/Kappa100_BD03_C2_nematic_04575000.png,435
Training/Kappa30_BD01_C3_nematic_158175000.png,145
Training/Kappa30_BD01_C1_nematic_80775000.png,145
Training/Kappa500_BD05_C1_nematic_13950000.png,726
Training/Kappa100_BD03_C0_nematic_19875000.png,435
Training/Kappa70_BD03_C4_nematic_31425000.png,435
Training/Lx150_BD035_C0_nematic_05175000.png,35
Training/Kappa30_BD03_C0_nematic_73800000.png,435
Training/Kappa30_BD05_C7_nematic_08475000.png,726
Training/Kappa200_BD07_C1_nematic_06150000.png,1016
Training/Lx150_BD0333_C1_nematic_00450000.png,333
Training/Lx100_BD05_C1_nematic_01050000.png,323
Training/Kappa200_BD07_C1_nematic_06900000.png,1016
Training/Lx150_BD020_C2_nematic_00525000.png,20
Training/Lx150_BD057_C1_nematic_01650000.png,57
Training/Lx150_BD0359_C0_nematic_01935000.png,359
Training/Kappa100_BD05_C2_nematic_32625000.png,726
Training/Kappa200_BD07_C2_nematic_13800000.png,1016
Training/Kappa70_BD01_C2_nematic_63750000.png,145
Training/Kappa70_BD03_C1_nematic_68475000.png,435
Training/Kappa1000_BD03_C1_nematic_58650000.png,435
Training/Kappa30_BD05_C7_nematic_01800000.png,726
Training/Kappa70_BD01_C5_nematic_54225000.png,145
Training/Kappa200_BD07_C2_nematic_10125000.png,1016
Training/Kappa30_BD07_C5_nematic_00900000.png,1016
Training/Kappa300_BD03_C0_nematic_29175000.png,435
Training/Kappa300_BD07_C1_nematic_15900000.png,1016
Training/Kappa100_BD07_C2_nematic_11025000.png,1016
Training/Kappa70_BD01_C4_nematic_112275000.png,145
Training/Lx150_BD0359_C0_nematic_00465000.png,359
Training/Lx150_BD0333_C2_nematic_00090000.png,333
Training/Kappa200_BD01_C2_nematic_36900000.png,145
Training/Kappa500_BD03_C2_nematic_46050000.png,435
Training/Kappa200_BD01_C1_nematic_28500000.png,145
Training/Kappa70_BD05_C1_nematic_44801899.png,726
Training/Kappa1000_BD03_C2_nematic_30675000.png,435
Training/Lx50_BD03_C2_nematic_01365000.png,48
Training/Kappa100_BD03_C0_nematic_55050000.png,435
Training/Lx150_BD035_C1_nematic_02175000.png,35
Training/Kappa250_BD07_C1_nematic_09675000.png,1016
Training/Kappa100_BD07_C2_nematic_04425000.png,1016
Training/Kappa70_BD05_C1_nematic_64348961.png,726
Training/Kappa150_BD07_C2_nematic_19275000.png,1016
Training/Kappa300_BD07_C2_nematic_16125000.png,1016
Training/Lx150_BD0198_C0_nematic_01500000.png,198
Training/Kappa500_BD05_C1_nematic_03825000.png,726
Training/Kappa30_BD01_C3_nematic_119775000.png,145
Training/Lx150_BD083_C0_nematic_09075000.png,83
Training/Lx150_BD0253_C1_nematic_00045000.png,253
Training/Lx150_BD057_C2_nematic_02925000.png,57
Training/Kappa300_BD03_C2_nematic_27300000.png,435
Training/Lx150_BD0359_C2_nematic_02025000.png,359
Training/Kappa100_BD03_C0_nematic_49125000.png,435
Training/Kappa70_BD07_C0_nematic_13350000.png,1016
Training/Kappa30_BD05_C9_nematic_18000000.png,726
Training/Lx50_BD05_C2_nematic_03825000.png,81
Training/Lx50_BD01_C0_nematic_21225000.png,16
Training/Lx100_BD07_C0_nematic_00525000.png,452
Training/Kappa100_BD01_C5_nematic_98175000.png,145
Training/Kappa300_BD01_C0_nematic_121350000.png,145
Training/Lx100_BD03_C0_nematic_00465000.png,194
Training/Lx150_BD0247_C2_nematic_02100000.png,247
Training/Kappa70_BD01_C4_nematic_155175000.png,145
Training/Kappa250_BD03_C1_nematic_62625000.png,435
Training/Kappa150_BD03_C1_nematic_59475000.png,435
Training/Kappa1000_BD03_C1_nematic_51825000.png,435
Training/Kappa30_BD05_C6_nematic_18825000.png,726
Training/Kappa200_BD01_C1_nematic_52575000.png,145
Training/Kappa300_BD03_C0_nematic_55275000.png,435
Training/Kappa1000_BD03_C2_nematic_50100000.png,435
Training/Kappa100_BD03_C1_nematic_34500000.png,435
Training/Lx50_BD05_C0_nematic_03720000.png,81
Training/Kappa30_BD01_C3_nematic_173775000.png,145
Training/Kappa70_BD05_C2_nematic_70544080.png,726
Training/Lx100_BD07_C2_nematic_00210000.png,452
Training/Kappa150_BD01_C2_nematic_113700000.png,145
Training/Lx150_BD0130_C2_nematic_04155000.png,130
Training/Kappa500_BD03_C0_nematic_23475000.png,435
Training/Lx150_BD0359_C1_nematic_01380000.png,359
Training/Kappa250_BD05_C0_nematic_05436266.png,726
Training/Lx150_BD035_C1_nematic_12750000.png,35
Training/Lx50_BD01_C2_nematic_10350000.png,16
Training/Kappa150_BD03_C1_nematic_62325000.png,435
Training/Kappa70_BD01_C0_nematic_36300000.png,145
Training/Kappa1000_BD01_C2_nematic_68550000.png,145
Training/Kappa30_BD05_C5_nematic_03450000.png,726
Training/Lx50_BD03_C0_nematic_08355000.png,48
Training/Kappa70_BD05_C2_nematic_36021728.png,726
Training/Lx100_BD05_C0_nematic_01200000.png,323
Training/Kappa70_BD01_C1_nematic_71850000.png,145
Training/Kappa200_BD01_C0_nematic_27600000.png,145
Training/Kappa250_BD03_C0_nematic_20850000.png,435
Training/Kappa300_BD05_C2_nematic_16425000.png,726
Training/Kappa30_BD01_C0_nematic_89925000.png,145
Training/Kappa300_BD01_C1_nematic_123900000.png,145
Training/Lx150_BD0130_C1_nematic_03600000.png,130
Training/Lx50_BD01_C1_nematic_03840000.png,16
Training/Kappa250_BD05_C2_nematic_09335601.png,726
Training/Kappa100_BD03_C1_nematic_19575000.png,435
Training/Lx50_BD03_C2_nematic_03930000.png,48
Training/Kappa30_BD07_C2_nematic_30968110.png,1016
Training/Kappa500_BD03_C1_nematic_50700000.png,435
Training/Kappa150_BD03_C0_nematic_06375000.png,435
Training/Kappa250_BD03_C2_nematic_08250000.png,435
Training/Kappa250_BD05_C1_nematic_04310178.png,726
Training/Lx50_BD03_C1_nematic_05655000.png,48
Training/Kappa30_BD05_C8_nematic_11775000.png,726
Training/Kappa100_BD01_C4_nematic_42225000.png,145
Training/Lx150_BD083_C0_nematic_03000000.png,83
Training/Kappa30_BD05_C6_nematic_25575000.png,726
Training/Kappa100_BD01_C4_nematic_174600000.png,145
Training/Kappa1000_BD01_C0_nematic_81300000.png,145
Training/Lx50_BD07_C0_nematic_01185000.png,113
Training/Lx100_BD07_C2_nematic_00375000.png,452
Training/Lx50_BD05_C2_nematic_01710000.png,81
Training/Kappa250_BD05_C2_nematic_00785601.png,726
Training/Kappa100_BD07_C1_nematic_04050000.png,1016
Training/Lx50_BD03_C1_nematic_01350000.png,48
Training/Lx150_BD020_C2_nematic_11580000.png,20
Training/Kappa70_BD07_C1_nematic_10350000.png,1016
Training/Lx150_BD0247_C2_nematic_01650000.png,247
Training/Kappa100_BD01_C4_nematic_83325000.png,145
Training/Lx150_BD083_C2_nematic_06825000.png,83
Training/Kappa30_BD05_C2_nematic_14250000.png,726
Training/Kappa70_BD05_C1_nematic_65248961.png,726
Training/Kappa500_BD05_C1_nematic_18600000.png,726
Training/Lx150_BD0198_C0_nematic_00135000.png,198
Training/Lx150_BD083_C0_nematic_03975000.png,83
Training/Kappa70_BD05_C0_nematic_36748138.png,726
Training/Lx150_BD0359_C0_nematic_01080000.png,359
Training/Kappa30_BD07_C1_nematic_37868829.png,1016
Training/Kappa70_BD05_C1_nematic_38951899.png,726
Training/Lx100_BD05_C0_nematic_00765000.png,323
Training/Lx50_BD05_C2_nematic_00570000.png,81
Training/Kappa500_BD01_C1_nematic_177375000.png,145
Training/Lx150_BD0253_C0_nematic_01695000.png,253
Training/Kappa500_BD05_C1_nematic_03900000.png,726
